SM,plate,celltype,sample_type,sort_type
fetal_before_5_B10,fetal_before_5_B10,fetal_before,Culture,fetal,size
fetal_before_5_A10,fetal_before_5_A10,fetal_before,Culture,fetal,size
fetal_before_4_D5,fetal_before_4_D5,fetal_before,Culture,fetal,size
fetal_before_2_D4,fetal_before_2_D4,fetal_before,Culture,fetal,size
fetal_before_2_E4,fetal_before_2_E4,fetal_before,Culture,fetal,size
fetal_before_4_B3,fetal_before_4_B3,fetal_before,Culture,fetal,size
fetal_before_3_G11,fetal_before_3_G11,fetal_before,Culture,fetal,size
fetal_before_3_D11,fetal_before_3_D11,fetal_before,Culture,fetal,size
fetal_before_3_H11,fetal_before_3_H11,fetal_before,Culture,fetal,size
fetal_before_3_C12,fetal_before_3_C12,fetal_before,Culture,fetal,size
fetal_before_5_G12,fetal_before_5_G12,fetal_before,Culture,fetal,size
fetal_before_5_D12,fetal_before_5_D12,fetal_before,Culture,fetal,size
fetal_before_5_F12,fetal_before_5_F12,fetal_before,Culture,fetal,size
fetal_before_2_B9,fetal_before_2_B9,fetal_before,Culture,fetal,size
RC17_after_mesDA_3_C5,RC17_after_mesDA_3_C5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B2,RC17_after_mesDA_18_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A2,RC17_after_mesDA_18_A2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F2,RC17_after_mesDA_18_F2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A3,RC17_after_mesDA_18_A3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C2,RC17_after_mesDA_16_C2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D5,RC17_after_mesDA_4_D5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E9,RC17_after_mesDA_17_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_D9,RC17_after_mesDA_17_D9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C9,RC17_after_mesDA_17_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B9,RC17_after_mesDA_17_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A9,RC17_after_mesDA_17_A9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D4,RC17_after_mesDA_4_D4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_F4,RC17_after_mesDA_4_F4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B2,RC17_after_mesDA_16_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E3,RC17_after_mesDA_17_E3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D10,RC17_after_mesDA_2_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C10,RC17_after_mesDA_2_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B10,RC17_after_mesDA_2_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E10,RC17_after_mesDA_2_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F9,RC17_after_mesDA_2_F9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A10,RC17_after_mesDA_2_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H9,RC17_after_mesDA_2_H9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G9,RC17_after_mesDA_2_G9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E2,RC17_after_mesDA_18_E2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C5,RC17_after_mesDA_4_C5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A5,RC17_after_mesDA_4_A5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B5,RC17_after_mesDA_4_B5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C10,RC17_after_mesDA_16_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B10,RC17_after_mesDA_16_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_E10,RC17_after_mesDA_16_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_D10,RC17_after_mesDA_16_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A2,RC17_after_mesDA_2_A2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H1,RC17_after_mesDA_2_H1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C1,RC17_after_mesDA_2_C1,RC17_after_mesDA,graft,ES,GFP
